street_address,phone_number,zip_code,entity_type,fips_county_code,bed_count,city,state_or_region,name_common,ccn,facility_type,medicare_medicaid_eligible,lat,lon
400 n edwards street,3343470584,36330,VOL. NON PROFIT - RELIGIOUS AFF,31.0,131.0,enterprise,AL,medical center enterprise,010049,Short Term,true,,
509 wilson avenue,2053723388,35462,CORPORATION,63.0,20.0,eutaw,AL,greene county hospital,010051,Short Term,true,,
201 mariarden road,2568257821,36853,VOL. NON PROFIT - RELIGIOUS AFF,123.0,46.0,dadeville,AL,lake martin community hospital,010052,Short Term,true,,
4370 west main street,3347935000,36305,VOL. NON PROFIT - RELIGIOUS AFF,69.0,235.0,dothan,AL,flowers hospital,010055,Short Term,true,,
810 st vincent's drive,2059397000,35205,PROPRIETARY,73.0,409.0,birmingham,AL,st vincent's birmingham,010056,Short Term,true,,
208 pierson ave,2059264881,35042,STATE,7.0,35.0,centreville,AL,bibb medical center,010058,Short Term,true,,
202 hospital street,2569742200,35650,STATE,79.0,98.0,moulton,AL,lawrence medical center,010059,Short Term,true,,
380 woods cove road,2562594444,35768,STATE,71.0,170.0,scottsboro,AL,highlands medical center,010061,Short Term,true,,
1200 w maple avenue,3346843655,36340,STATE,61.0,83.0,geneva,AL,wiregrass medical center,010062,Short Term,true,,
3316 highway 280,2563297100,35010,PROPRIETARY,123.0,81.0,alexander city,AL,russell medical center,010065,Short Term,true,,
820 w washington st,3346887271,36027,STATE,5.0,74.0,eufaula,AL,medical center barbour,010069,Short Term,true,,
83825 highway 9    p o box 1270,2563542131,36251,STATE,27.0,53.0,ashland,AL,clay county hospital,010073,Short Term,true,,
400 east 10th street,2562355121,36207,CORPORATION,15.0,323.0,anniston,AL,northeast alabama regional medical center,010078,Short Term,true,,
700 west market street,2562339292,35611,STATE,83.0,71.0,athens,AL,athens limestone hospital,010079,Short Term,true,,
1613 north mckenzie street,2519493400,36535,VOL. NON PROFIT - RELIGIOUS AFF,3.0,112.0,foley,AL,south baldwin regional medical center,010083,Short Term,true,,
1201 7th street se,2563412000,35601,STATE,103.0,457.0,decatur,AL,decatur morgan hospital-decatur campus,010085,Short Term,true,,
1530 u s highway 43,2054877736,35594,VOL. NON PROFIT - RELIGIOUS AFF,93.0,71.0,winfield,AL,northwest medical center,010086,Short Term,true,,
2451 fillingim street,2514717110,36617,NOT FOR PROFIT,97.0,406.0,mobile,AL,usa health university hospital,010087,Short Term,true,,
3400 highway 78 east,2053874000,35502,PROPRIETARY,127.0,267.0,jasper,AL,walker baptist medical center,010089,Short Term,true,,
6801 airport boulevard,2516331000,36608,PRIVATE NON PROFIT,97.0,349.0,mobile,AL,providence hospital,010090,Short Term,true,,
295 jackson hwy s,2512753191,36451,STATE,25.0,50.0,grove hill,AL,grove hill memorial hospital,010091,Short Term,true,,
809 university boulevard east,2057597111,35401,STATE,125.0,787.0,tuscaloosa,AL,dch regional medical center,010092,Short Term,true,,
508 green street,3346243024,36744,STATE,65.0,39.0,greensboro,AL,hale county hospital,010095,Short Term,true,,
500 hospital drive,3345674311,36092,VOL. NON PROFIT - RELIGIOUS AFF,51.0,38.0,wetumpka,AL,elmore community hospital,010097,Short Term,true,,
1301 belleville avenue,2518678061,36426,STATE,53.0,65.0,brewton,AL,d w mcmillan memorial hospital,010099,Short Term,true,,
750 morphy avenue,2519282375,36532,PROPRIETARY,3.0,162.0,fairhope,AL,thomas hospital,010100,Short Term,true,,
604 stone avenue,2567614542,35161,PROPRIETARY,121.0,122.0,talladega,AL,citizens baptist medical center,010101,Short Term,true,,
317 mcwilliams avenue,3346824131,36726,RELIGIOUS AFFILIATION,131.0,30.0,camden,AL,j paul jones hospital,010102,Short Term,true,,
701 princeton avenue southwest,2057833800,35211,PRIVATE NON PROFIT,73.0,505.0,birmingham,AL,princeton baptist medical center,010103,Short Term,true,,
3690 grandview parkway,2059711000,35243,VOL. NON PROFIT - RELIGIOUS AFF,73.0,422.0,birmingham,AL,grandview medical center,010104,Short Term,true,,
124 s memorial dr,3343614267,36067,STATE,1.0,85.0,prattville,AL,prattville baptist hospital,010108,Short Term,true,,
102 west conecuh avenue,3347382140,36089,VOL. NON PROFIT - RELIGIOUS AFF,11.0,61.0,union springs,AL,bullock county hospital,010110,Short Term,true,,
105 highway 80 east,3342894000,36732,STATE,91.0,99.0,demopolis,AL,whitfield regional hospital,010112,Short Term,true,,
5 mobile infirmary circle,2514354700,36607,PROPRIETARY,97.0,669.0,mobile,AL,mobile infirmary medical center,010113,Short Term,true,,
995 9th avenue southwest,2054817000,35021,STATE,73.0,310.0,bessemer,AL,"medical west, an affiliate of uab health system",010114,Short Term,true,,
1015 medical center parkway,3344184100,36701,VOL. NON PROFIT - RELIGIOUS AFF,47.0,214.0,selma,AL,vaughan regional medical center parkway campus,010118,Short Term,true,,
2016 south alabama avenue,2515753111,36460,STATE,99.0,94.0,monroeville,AL,monroe county hospital,010120,Short Term,true,,
42024 highway 195 e,2054857117,35565,PRIVATE NON PROFIT,133.0,49.0,haleyville,AL,lakeland community hospital,010125,Short Term,true,,
1330 highway 231 south,3346705000,36081,FOR PROFIT,109.0,97.0,troy,AL,troy regional medical center,010126,Short Term,true,,
220 hospital drive,2512469021,36545,VOL. NON PROFIT - RELIGIOUS AFF,25.0,35.0,jackson,AL,jackson medical center,010128,Short Term,true,,
1815 hand avenue,2519375521,36507,PROPRIETARY,3.0,78.0,bay minette,AL,north baldwin infirmary,010129,Short Term,true,,
7063 veterans parkway,2053383301,35125,PROPRIETARY,115.0,40.0,pell city,AL,st vincent's st clair,010130,Short Term,true,,
one hospital dr se,2568823100,35801,VOL. NON PROFIT - RELIGIOUS AFF,89.0,147.0,huntsville,AL,crestwood medical center,010131,Short Term,true,,
751 derby drive,2053925263,36925,STATE,119.0,33.0,york,AL,hill hospital of sumter county,010138,Short Term,true,,
2010 brookwood medical center drive,2058771000,35209,VOL. NON PROFIT - RELIGIOUS AFF,73.0,595.0,birmingham,AL,brookwood baptist medical center,010139,Short Term,true,,
3719 dauphin street,2513449630,36608,VOL. NON PROFIT - RELIGIOUS AFF,97.0,263.0,mobile,AL,springhill memorial hospital,010144,Short Term,true,,
101 crestview avenue,2515782480,36401,VOL. NON PROFIT - RELIGIOUS AFF,35.0,44.0,evergreen,AL,evergreen medical center,010148,Short Term,true,,
400 taylor road,3342448330,36117,STATE,101.0,150.0,montgomery,AL,baptist medical center east,010149,Short Term,true,,
700 s 19th st,2059338101,35233,,73.0,479.0,birmingham,AL,birmingham va medical center,01014F,,false,,
29 l v stabler drive,3343822200,36037,VOL. NON PROFIT - RELIGIOUS AFF,13.0,72.0,greenville,AL,regional medical center of central alabama,010150,Short Term,true,,
201 west avalon avenue,2563861601,35661,VOL. NON PROFIT - RELIGIOUS AFF,33.0,198.0,muscle shoals,AL,shoals hospital,010157,Short Term,true,,
15155 highway 43,2563321611,35653,VOL. NON PROFIT - RELIGIOUS AFF,59.0,100.0,russellville,AL,russellville hospital,010158,Short Term,true,,
315 w hickory st,2562495000,35150,STATE,121.0,168.0,sylacauga,AL,coosa valley medical center,010164,Short Term,true,,
4401 river chase drive,3347323000,36867,NOT FOR PROFIT,113.0,70.0,phenix city,AL,jack hughston memorial hospital,010168,Short Term,true,,
401 medical park drive,2513682500,36502,STATE,53.0,49.0,atmore,AL,atmore community hospital,010169,Short Term,true,,
2030 lay dam road,2052584400,35045,PRIVATE NON PROFIT,21.0,30.0,clanton,AL,st vincent's chilton,010173,Short Term,true,,
300 med park drive,2058731442,36784,PROPRIETARY,25.0,29.0,thomasville,AL,thomasville regional medical center,010174,Short Term,true,,
4800 48th street,3347569180,36854,STATE,17.0,115.0,valley,AL,eamc - lanier,010175,Short Term,true,,
3610 springhill mem dr n,2514605280,36608,VOL. NON PROFIT - RELIGIOUS AFF,97.0,1.0,mobile,AL,gulf coast surgical partners llc,010176,Short Term,true,,
215 perry hill rd,3342724670,36109,,101.0,285.0,montgomery,AL,central al veterans hlth care system west campus,01019F,,false,,
3701 loop road east,2055542000,35404,,125.0,928.0,tuscaloosa,AL,tuscaloosa va medical center,01021F,,false,,
2400 hospital rd,3347270550,36083,,87.0,1436.0,tuskegee,AL,central al veterans hlth care system east campus,01022F,,false,,
14600 st. stephens avenue,2518472223,36518,CORPORATION,129.0,25.0,chatom,AL,washington county hospital,011300,Critical Access Hospitals,true,,
211 hospital road,2563569532,35582,STATE,59.0,25.0,red bay,AL,red bay hospital,011302,Critical Access Hospitals,true,,
"401 vanity fair lane, po box 618",2054599100,36904,PROPRIETARY,23.0,25.0,butler,AL,choctaw general hospital,011304,Critical Access Hospitals,true,,
150 gilbreath drive,2052743000,35121,PROPRIETARY,9.0,25.0,oneonta,AL,st vincents blount,011305,Critical Access Hospitals,true,,
1032 main street south,2563572111,36278,STATE,111.0,15.0,wedowee,AL,tanner medical center-east alabama,011306,Critical Access Hospitals,true,,
5 mobile infirmary circle,2516605611,36607,PROPRIETARY,97.0,22.0,mobile,AL,infirmary ltac hospital,012006,Long Term,true,,
"2010 brookwood medical center drive, 3rd floor",2055994595,35209,VOL. NON PROFIT - RELIGIOUS AFF,73.0,38.0,birmingham,AL,select specialty hospital - birmingham,012008,Long Term,true,,
50 medical park east drive 8th floor,2058385100,35235,FOR PROFIT,73.0,45.0,birmingham,AL,"noland hospital birmingham ii, llc",012009,Long Term,true,,
"1108 ross clark circle, 4th floor",3346994300,36302,PROPRIETARY,69.0,35.0,dothan,AL,"noland hospital dothan ii, llc",012010,Long Term,true,,
"400 east 10th street, 4th floor",2567416141,36202,PROPRIETARY,15.0,38.0,anniston,AL,"noland hospital anniston ii, llc",012011,Long Term,true,,
"809 university boulevard east, 4th floor",2057597241,35401,PROPRIETARY,125.0,32.0,tuscaloosa,AL,"noland hospital tuscaloosa ii, llc",012012,Long Term,true,,
"700 west market street, 2nd floor",3372699566,35611,VOL. NON PROFIT - RELIGIOUS AFF,83.0,31.0,athens,AL,north alabama specialty hospital,012014,Long Term,true,,
3800 ridgeway drive,2058682000,35209,VOL. NON PROFIT - RELIGIOUS AFF,73.0,100.0,birmingham,AL,encompass health lakeshore rehabilitation hospital,013025,Rehabilitation,true,,
4465 narrow lane rd,3342847821,36116,VOL. NON PROFIT - RELIGIOUS AFF,101.0,70.0,montgomery,AL,encompass rehabilitation hospital of montgomery,013028,Rehabilitation,true,,
1490 highway 72 e,2055352300,35811,VOL. NON PROFIT - RELIGIOUS AFF,89.0,70.0,huntsville,AL,encompass health rehabilitation hospital north  al,013029,Rehabilitation,true,,
1736 east main street,3347126333,36301,VOL. NON PROFIT - RELIGIOUS AFF,69.0,51.0,dothan,AL,encompass health rehabilitation hospital of dothan,013030,Rehabilitation,true,,
900 oak mountain commons lane,2052167621,35124,VOL. NON PROFIT - RELIGIOUS AFF,117.0,34.0,pelham,AL,encompass health rehabilitation hospital of shelby,013031,Rehabilitation,true,,
801 goodyear ave,2564395000,35903,VOL. NON PROFIT - RELIGIOUS AFF,55.0,44.0,gadsden,AL,encompass health rehabilitation hospital gadsden,013032,Rehabilitation,true,,
3715 us highway 431 north,3347322200,36867,VOL. NON PROFIT - RELIGIOUS AFF,113.0,58.0,phenix city,AL,regional rehabilitation hospital,013033,Rehabilitation,true,,
1600 seventh avenue south,2059399100,35233,PROPRIETARY,73.0,332.0,birmingham,AL,children's hospital of alabama,013300,Childrens Hospitals,true,,
1700 center street,2514151000,36604,NOT FOR PROFIT,97.0,152.0,mobile,AL,usa health children's & women's hospital,013301,Childrens Hospitals,true,,
6869 fifth avenue south,2058339000,35212,VOL. NON PROFIT - RELIGIOUS AFF,73.0,94.0,birmingham,AL,hill crest behavioral health services,014000,Psychiatric,true,,
3201 scenic highway,2565469265,35902,VOL. NON PROFIT - RELIGIOUS AFF,55.0,68.0,gadsden,AL,mountain view hospital,014006,Psychiatric,true,,
200 university blvd,2057590750,35401,NOT FOR PROFIT,125.0,268.0,tuscaloosa,AL,bryce hospital,014007,Psychiatric,true,,
201 university blvd,2057590900,35401,NOT FOR PROFIT,125.0,96.0,tuscaloosa,AL,mary s harper geriatric psychiatry center,014012,Psychiatric,true,,
700 east cottonwood rd,3347947373,36301,PROPRIETARY,69.0,24.0,dothan,AL,laurel oaks behavioral health center,014013,Psychiatric,true,,
5800 southland drive,2516627998,36693,RELIGIOUS AFFILIATION,97.0,60.0,mobile,AL,baypointe behavioral health,014014,Psychiatric,true,,
150 hospital drive,3343355040,36049,VOL. NON PROFIT - RELIGIOUS AFF,41.0,28.0,luverne,AL,beacon children's hospital,014015,Psychiatric,true,,
"1910 cherokee avenue, sw",2567391239,35055,VOL. NON PROFIT - RELIGIOUS AFF,43.0,40.0,cullman,AL,"sanctuary at the woodlands, the",014016,Psychiatric,true,,
7400 roper lane,2513786500,36526,RELIGIOUS AFFILIATION,3.0,66.0,daphne,AL,eastpointe hospital,014017,Psychiatric,true,,
"5315 millenium drive, nw",2569646700,35806,VOL. NON PROFIT - RELIGIOUS AFF,89.0,20.0,huntsville,AL,unity psychiatric care - huntsville,014018,Psychiatric,true,,
619 south 19th street,2059344011,35233,,73.0,0.0,birmingham,AL,university of alabama hospital,019800,Transplant Hospitals,true,,
1600 seventh avenue south,2056389828,35233,,73.0,0.0,birmingham,AL,children's hospital of alabama,019801,Transplant Hospitals,true,,
3200 providence drive,9075622211,99508,PRIVATE NON PROFIT,20.0,401.0,anchorage,AK,providence alaska medical center,020001,Short Term,true,,
2500 south woodworth loop,9078616000,99645,RELIGIOUS AFFILIATION,170.0,74.0,palmer,AK,mat-su regional medical center,020006,Short Term,true,,
3260 hospital dr,9077968900,99801,CORPORATION,110.0,57.0,juneau,AK,bartlett regional hospital,020008,Short Term,true,,
1650 cowles street,9074528181,99701,PROPRIETARY,90.0,162.0,fairbanks,AK,fairbanks memorial hospital,020012,Short Term,true,,
2801 debarr road,9072761131,99508,VOL. NON PROFIT - RELIGIOUS AFF,20.0,250.0,anchorage,AK,alaska regional hospital,020017,Short Term,true,,
po box 287,9075436300,99559,,50.0,50.0,bethel,AK,yukon kuskokwim delta reg hospital,020018,Short Term,true,,
250 hospital place,9072624404,99669,RELIGIOUS AFFILIATION,120.0,49.0,soldotna,AK,central peninsula general hospital,020024,Short Term,true,,
4315 diplomacy dr,9077293971,99508,FOR PROFIT,20.0,167.0,anchorage,AK,alaska native medical center,020026,Short Term,true,,
3rd + gamble sts,,99501,,20.0,381.0,anchorage,AK,us public health service hosp,02003F,,false,,
p o box 11 navy 320 seattle wash,,99504,,20.0,18.0,anchorage,AK,us naval hosp,02009F,,false,,
,,99615,,150.0,15.0,kodiak,AK,us navy station hosp,02010F,,false,,
apo seattle washington,,99611,,,0.0,kenai,AK,us air force dispensary,02011F,,false,,
elliston afb apo 937 seattle wash,,99702,,90.0,20.0,fairbanks,AK,us air force hosp,02012F,,false,,
p o box 548,,99686,,,165.0,valdez,AK,harborview mem hosp,02015E,,false,,
po box 550,9078352249,99686,CORPORATION,260.0,11.0,valdez,AK,providence valdez medical center,021301,Critical Access Hospitals,true,,
"417 first avenue, po box 365",9072245205,99664,CORPORATION,210.0,6.0,seward,AK,providence seward medical center,021302,Critical Access Hospitals,true,,
po box 589,9077724291,99833,CORPORATION,280.0,12.0,petersburg,AK,petersburg medical center,021304,Critical Access Hospitals,true,,
232 wood street,9078747000,99929,,280.0,8.0,wrangell,AK,searhc wrangell medical center-cah,021305,Critical Access Hospitals,true,,
1915 east rezanof drive,9074869592,99615,PRIVATE NON PROFIT,150.0,25.0,kodiak,AK,providence kodiak island medical ctr,021306,Critical Access Hospitals,true,,
po box 160 - 602 chase avenue,9074248000,99574,CORPORATION,80.0,13.0,cordova,AK,cordova community medical center,021307,Critical Access Hospitals,true,,
1000 greg kruschek avenue (p o box 966),9074433311,99762,,180.0,21.0,nome,AK,norton sound regional hospital,021308,Critical Access Hospitals,true,,
p o box 130,9078425201,99576,PROPRIETARY,70.0,15.0,dillingham,AK,kanakanak hospital,021309,Critical Access Hospitals,true,,
po box 43,9074423321,99752,,188.0,17.0,kotzebue,AK,maniilaq health center,021310,Critical Access Hospitals,true,,
3100 tongass avenue,9072255171,99901,PRIVATE NON PROFIT,130.0,25.0,ketchikan,AK,ketchikan medical center,021311,Critical Access Hospitals,true,,
7000 uula st,9078524611,99723,,40.0,10.0,barrow,AK,samuel simmonds memorial hospital,021312,Critical Access Hospitals,true,,
4300 bartlett st,9072358101,99603,PROPRIETARY,120.0,22.0,homer,AK,south peninsula hospital,021313,Critical Access Hospitals,true,,
222 tongass dr,9079662411,99835,PROPRIETARY,220.0,25.0,sitka,AK,mt edgecumbe hospital,021314,Critical Access Hospitals,true,,
4800 cordova street,9075613333,99503,PROPRIETARY,20.0,59.0,anchorage,AK,st elias specialty hospital,022001,Long Term,true,,
2530 debarr rd,9072643526,99508,VOL. NON PROFIT - RELIGIOUS AFF,20.0,140.0,anchorage,AK,north star hospital,024001,Psychiatric,true,,
3700 piper street,9072697100,99508,NOT FOR PROFIT,20.0,95.0,anchorage,AK,alaska psychiatric institute,024002,Psychiatric,true,,
1111 east mcdowell road,6028392000,85006,RELIGIOUS AFFILIATION,13.0,766.0,phoenix,AZ,banner - university medical center phoenix,030002,Short Term,true,,
5301 east grant road,5203275461,85712,PROPRIETARY,19.0,596.0,tucson,AZ,tucson medical center,030006,Short Term,true,,
269 south candy lane,9287732357,86326,PROPRIETARY,25.0,98.0,cottonwood,AZ,verde valley medical center,030007,Short Term,true,,
1601 west st mary's road,5208723000,85745,PROPRIETARY,19.0,400.0,tucson,AZ,st. mary's hospital,030010,Short Term,true,,
350 north wilmot road,5208733000,85711,RELIGIOUS AFFILIATION,19.0,486.0,tucson,AZ,st joseph's hospital,030011,Short Term,true,,
1003 willow creek road,9284452700,86301,PROPRIETARY,25.0,218.0,prescott,AZ,yavapai regional medical center,030012,Short Term,true,,
2400 south avenue a,9283367600,85364,PROPRIETARY,27.0,369.0,yuma,AZ,yuma regional medical center,030013,Short Term,true,,
250 east dunlap avenue,6023315862,85020,PROPRIETARY,13.0,262.0,phoenix,AZ,honorhealth john c. lincoln medical center,030014,Short Term,true,,
1800 east florence boulevard,5203816300,85122,RELIGIOUS AFFILIATION,21.0,141.0,casa grande,AZ,banner casa grande medical center,030016,Short Term,true,,
1825 e garfield st,,85006,,13.0,84.0,phoenix,AZ,crippled childrens hosp,03001E,,false,,
2601 east roosevelt street,6023445011,85008,CORPORATION,13.0,758.0,phoenix,AZ,valleywise health medical center,030022,Short Term,true,,
1200 north beaver street,9287793366,86001,PROPRIETARY,5.0,264.0,flagstaff,AZ,flagstaff medical center,030023,Short Term,true,,
350 west thomas road,6024065001,85013,PRIVATE NON PROFIT,13.0,586.0,phoenix,AZ,st. joseph's hospital and medical center,030024,Short Term,true,,
2800 east ajo way,5202944471,85713,,19.0,197.0,tucson,AZ,"university physicians hospital at kino, the",03002E,,false,,
2000 west bethany home road,6022490212,85015,LOCAL GOVERNMENT,13.0,206.0,phoenix,AZ,abrazo central campus,030030,Short Term,true,,
1955 west frye road,4807283000,85224,PROPRIETARY,13.0,338.0,chandler,AZ,chandler regional medical center,030036,Short Term,true,,
1800 east van buren street,6022518156,85006,VOL. NON PROFIT - RELIGIOUS AFF,13.0,219.0,phoenix,AZ,st luke's medical center,030037,Short Term,true,,
7400 east osborn road,4808824004,85251,VOL. NON PROFIT - RELIGIOUS AFF,13.0,341.0,scottsdale,AZ,honorhealth scottsdale osborn medical center,030038,Short Term,true,,
5700 east highway 90,5202632000,85635,RELIGIOUS AFFILIATION,3.0,100.0,sierra vista,AZ,canyon vista medical center,030043,Short Term,true,,
davis-monthan afb,5201111111,85707,,19.0,60.0,tucson,AZ,us air force hosp,03004F,,false,,
3269 stockton hill road,9287572101,86401,STATE,15.0,235.0,kingman,AZ,kingman regional medical center,030055,Short Term,true,,
luke afb,6021111111,85301,,13.0,60.0,glendale,AZ,us air force hosp - closed,03005F,,false,,
10401 west thunderbird boulevard,6238324000,85351,RELIGIOUS AFFILIATION,13.0,434.0,sun city,AZ,banner boswell medical center,030061,Short Term,true,,
2200 east show low lake road,9285374375,85901,PROPRIETARY,17.0,101.0,show low,AZ,summit healthcare regional medical center,030062,Short Term,true,,
1625 north campbell avenue,5208744189,85719,PROPRIETARY,19.0,625.0,tucson,AZ,banner - university medical center tucson campus,030064,Short Term,true,,
1400 south  dobson road,4804123000,85202,PROPRIETARY,13.0,595.0,mesa,AZ,banner desert medical center,030065,Short Term,true,,
101 civic center lane,9288558185,86403,VOL. NON PROFIT - RELIGIOUS AFF,15.0,152.0,lake havasu city,AZ,havasu regional medical center,030069,Short Term,true,,
williams afb,1112222,85224,,13.0,33.0,chandler,AZ,us air force hosp,03006F,,false,,
po box 649,9287298000,86504,,1.0,70.0,fort defiance,AZ,fort defiance indian hospital,030071,Short Term,true,,
po box 600,9282832501,86045,RELIGIOUS AFFILIATION,5.0,103.0,tuba city,AZ,tuba city regional health care corporation,030073,Short Term,true,,
"highway 86, at topawa road",5203627003,85634,,19.0,32.0,sells,AZ,sells hospital,030074,Short Term,true,,
103 medicine way road,9284751200,85542,FOR PROFIT,7.0,36.0,peridot,AZ,san carlos apache healthcare,030077,Short Term,true,,
4212 north 16th street,6022631200,85016,FOR PROFIT,13.0,179.0,phoenix,AZ,phoenix indian medical center,030078,Short Term,true,,
45001 winrow sreet,5204444444,85613,,3.0,92.0,fort huachuca,AZ,us army hosp,03007F,,false,,
3929 east bell road,6029235609,85032,VOL. NON PROFIT - RELIGIOUS AFF,13.0,136.0,phoenix,AZ,abrazo scottsdale campus,030083,Short Term,true,,
"us hwy 191, hospital road",9286747001,86503,FOR PROFIT,1.0,10.0,chinle,AZ,chinle comprehensive health care facility,030084,Short Term,true,,
6200 north la cholla boulevard,5204698100,85741,VOL. NON PROFIT - RELIGIOUS AFF,19.0,300.0,tucson,AZ,northwest medical center,030085,Short Term,true,,
9003 east shea boulevard,4803233000,85260,VOL. NON PROFIT - RELIGIOUS AFF,13.0,425.0,scottsdale,AZ,honorhealth scottsdale shea medical center,030087,Short Term,true,,
6644 east baywood avenue,4803212000,85206,PROPRIETARY,13.0,359.0,mesa,AZ,banner baywood medical center,030088,Short Term,true,,
5555 west thunderbird road,6028654470,85306,STATE,13.0,561.0,glendale,AZ,banner thunderbird medical center,030089,Short Term,true,,
19829 north 27th avenue,6238796100,85027,PROPRIETARY,13.0,204.0,phoenix,AZ,honorhealth deer valley medical center,030092,Short Term,true,,
14502 west meeker boulevard,6235244000,85375,PROPRIETARY,13.0,394.0,sun city west,AZ,banner del e. webb medical center,030093,Short Term,true,,
18701 north 67th avenue,6235611000,85308,VOL. NON PROFIT - RELIGIOUS AFF,13.0,217.0,glendale,AZ,abrazo arrowhead campus,030094,Short Term,true,,
2735 silver creek road,9287632273,86442,VOL. NON PROFIT - RELIGIOUS AFF,15.0,139.0,bullhead city,AZ,western arizona regional medical center,030101,Short Term,true,,
5777 east mayo boulevard,4803424201,85054,PROPRIETARY,13.0,280.0,phoenix,AZ,mayo clinic hospital,030103,Short Term,true,,
6750 east baywood avenue,4808545050,85206,PROPRIETARY,13.0,111.0,mesa,AZ,banner heart hospital,030105,Short Term,true,,
4620 east baseline road,4808324770,85206,LOCAL GOVERNMENT,13.0,23.0,mesa,AZ,arizona spine and joint hospital,030107,Short Term,true,,
6501 north 19th avenue,6027956020,85015,LOCAL GOVERNMENT,13.0,32.0,phoenix,AZ,"core institute specialty hospital, the",030108,Short Term,true,,
13677 west mcdowell road,6238821970,85395,VOL. NON PROFIT - RELIGIOUS AFF,13.0,200.0,goodyear,AZ,abrazo west campus,030110,Short Term,true,,
2800 east ajo way,5208742000,85713,PROPRIETARY,19.0,245.0,tucson,AZ,banner-university medical center south campus,030111,Short Term,true,,
"2905 west warner road, suite 1",4806039000,85224,VOL. NON PROFIT - RELIGIOUS AFF,13.0,24.0,chandler,AZ,arizona specialty hospital,030112,Short Term,true,,
200 west hospital drive  (po box 860),9283384911,85941,FOR PROFIT,17.0,40.0,whiteriver,AZ,whiteriver phs indian hospital,030113,Short Term,true,,
1551 east tangerine road,5209013500,85755,VOL. NON PROFIT - RELIGIOUS AFF,19.0,146.0,oro valley,AZ,oro valley hospital,030114,Short Term,true,,
9201 west thomas road,6233274000,85037,PROPRIETARY,13.0,317.0,phoenix,AZ,banner estrella medical center,030115,Short Term,true,,
5330 south highway 95,9287882273,86426,VOL. NON PROFIT - RELIGIOUS AFF,15.0,84.0,fort mohave,AZ,valley view medical center,030117,Short Term,true,,
